iter,score,food,len,pol_loss,val_loss,ent_loss,kl,clip,train_avg_reward
156,nan,nan,nan,-0.02117,304.67712,-0.31558,0.00077,0.0046,1.9320
157,nan,nan,nan,-0.01574,302.50045,-0.33239,0.00653,0.0756,1.9932
158,nan,nan,nan,-0.01897,311.10395,-0.38277,0.00455,0.0565,1.7769
159,nan,nan,nan,-0.01249,280.77426,-0.36860,0.01188,0.1133,1.6757
160,588.331,19.458,22.458,-0.01963,384.50717,-0.29224,0.00621,0.0722,1.9609
161,nan,nan,nan,-0.01376,363.81379,-0.25470,0.00081,0.0081,2.2723
162,nan,nan,nan,-0.01378,366.36739,-0.28919,0.00901,0.1020,2.2008
163,nan,nan,nan,-0.01595,271.41055,-0.32449,0.00203,0.0282,1.9504
164,nan,nan,nan,-0.01901,315.03164,-0.30920,0.00099,0.0072,2.0001
165,nan,nan,nan,-0.00794,277.19866,-0.33209,0.00401,0.0601,2.0651
166,nan,nan,nan,-0.00670,243.77530,-0.37438,0.00622,0.0717,1.8706
167,nan,nan,nan,-0.01566,314.53682,-0.36729,0.00713,0.0754,1.8814
168,nan,nan,nan,-0.01358,309.71168,-0.29354,0.01684,0.1448,2.0156
169,nan,nan,nan,-0.01197,306.99209,-0.24512,0.00289,0.0342,2.2879
170,622.800,20.958,23.958,-0.02039,399.21858,-0.26462,0.00765,0.0759,2.2620
171,nan,nan,nan,-0.01890,373.23251,-0.27294,0.00212,0.0294,2.1408
172,nan,nan,nan,-0.00830,286.43385,-0.27995,0.00600,0.0620,2.1921
173,nan,nan,nan,-0.00948,374.86423,-0.28942,0.01873,0.1304,2.1603
174,nan,nan,nan,-0.01599,374.63683,-0.28447,0.01468,0.1162,2.0366
175,nan,nan,nan,-0.01687,377.23965,-0.27768,0.00188,0.0262,2.2060
176,nan,nan,nan,-0.00745,302.08638,-0.29469,0.00142,0.0167,2.1453
177,nan,nan,nan,-0.01969,357.11451,-0.29597,0.00065,0.0025,2.1720
178,nan,nan,nan,-0.00870,404.75588,-0.32348,0.00739,0.0889,2.1319
179,nan,nan,nan,-0.01496,328.16807,-0.34643,0.00418,0.0473,1.8499
180,546.269,18.167,21.167,-0.01013,437.25541,-0.31045,0.00665,0.0715,2.2096
181,nan,nan,nan,-0.01032,458.59547,-0.30254,0.00353,0.0432,2.2028
182,nan,nan,nan,0.00058,401.56554,-0.32980,0.00354,0.0466,2.0000
183,nan,nan,nan,-0.01003,395.09070,-0.35070,0.00330,0.0445,1.9786
184,nan,nan,nan,0.00716,449.85564,-0.33617,0.04178,0.1517,1.8384
185,nan,nan,nan,-0.00501,468.37063,-0.23686,0.00538,0.0572,2.2405
186,nan,nan,nan,-0.01115,458.22443,-0.24159,0.00383,0.0379,2.2119
187,nan,nan,nan,-0.00433,410.83866,-0.23521,0.00632,0.0668,2.1665
188,nan,nan,nan,-0.00361,403.43097,-0.25783,0.01877,0.1342,2.2924
189,nan,nan,nan,-0.00381,471.99676,-0.30730,0.00835,0.0850,2.1306
190,538.693,17.833,20.833,-0.00149,455.30130,-0.28822,0.01436,0.1027,2.0660
191,nan,nan,nan,-0.01566,465.92124,-0.23174,0.00397,0.0474,2.2917
192,nan,nan,nan,0.00067,504.62884,-0.23848,0.00291,0.0366,2.3554
193,nan,nan,nan,-0.00762,383.48231,-0.26407,0.00591,0.0720,2.3033
194,nan,nan,nan,-0.00620,405.10870,-0.30524,0.01133,0.0941,2.1879
195,nan,nan,nan,-0.00671,445.04935,-0.31001,0.00403,0.0486,2.0444
196,nan,nan,nan,-0.00563,438.43176,-0.29259,0.00146,0.0202,2.1391
197,nan,nan,nan,-0.00252,457.91355,-0.28408,0.00218,0.0277,2.1785
198,nan,nan,nan,-0.00328,396.22602,-0.24558,0.01460,0.1038,2.1983
199,nan,nan,nan,0.00168,335.19210,-0.22505,0.00674,0.0633,2.3313
200,640.348,20.917,23.917,-0.01288,423.85559,-0.25168,0.00360,0.0413,2.3151
201,nan,nan,nan,-0.01065,388.39707,-0.27400,0.00410,0.0566,2.2516
202,nan,nan,nan,-0.01146,473.27158,-0.28584,0.00623,0.0714,2.2351
203,nan,nan,nan,-0.00838,414.16701,-0.28265,0.00914,0.0938,2.1721
204,nan,nan,nan,0.00426,417.68625,-0.24620,0.02398,0.0987,2.2093
205,nan,nan,nan,-0.00632,463.30179,-0.23713,0.00904,0.0891,2.3773
206,nan,nan,nan,-0.00437,519.77676,-0.26922,0.00816,0.0871,2.1811
207,nan,nan,nan,-0.00393,519.20222,-0.22873,0.00335,0.0421,2.2853
208,nan,nan,nan,-0.00890,531.71060,-0.24045,0.00139,0.0176,2.2841
209,nan,nan,nan,-0.00113,527.28466,-0.24374,0.00102,0.0117,2.3082
210,672.399,22.250,25.250,-0.00718,458.84047,-0.27198,0.00547,0.0665,2.2639
211,nan,nan,nan,-0.00313,420.34457,-0.28421,0.01152,0.0910,2.1607
212,nan,nan,nan,-0.00361,626.87612,-0.26367,0.00207,0.0241,2.1609
213,nan,nan,nan,-0.00298,546.86155,-0.27320,0.00239,0.0321,2.2108
214,nan,nan,nan,-0.00372,548.63337,-0.27497,0.00062,0.0046,2.2181
215,nan,nan,nan,-0.00263,613.49199,-0.27925,0.00210,0.0268,2.1986
216,nan,nan,nan,-0.00357,652.15764,-0.29681,0.00134,0.0159,2.1648
217,nan,nan,nan,0.01110,601.27102,-0.24689,0.02965,0.1605,2.1381
218,nan,nan,nan,-0.00162,589.40727,-0.21141,0.00922,0.0797,2.3893
219,nan,nan,nan,-0.00534,536.52949,-0.24825,0.00097,0.0098,2.2763
220,701.753,23.500,26.500,-0.00062,484.86505,-0.26729,0.00592,0.0609,2.2235
221,nan,nan,nan,0.00649,471.63514,-0.30438,0.01467,0.1312,2.1725
222,nan,nan,nan,-0.00032,505.10932,-0.31754,0.00634,0.0753,1.9632
223,nan,nan,nan,0.00123,596.88543,-0.26214,0.01168,0.1168,2.1532
224,nan,nan,nan,-0.00246,609.70702,-0.22692,0.00516,0.0639,2.3897
225,nan,nan,nan,-0.00400,595.54375,-0.23978,0.00593,0.0730,2.3756
226,nan,nan,nan,-0.01114,565.97844,-0.27422,0.00218,0.0305,2.2305
227,nan,nan,nan,0.00125,652.03492,-0.26016,0.00913,0.0736,2.2338
228,nan,nan,nan,0.00386,446.96550,-0.24161,0.00778,0.0800,2.2850
229,nan,nan,nan,-0.00216,525.55021,-0.22408,0.00029,0.0002,2.2858
230,607.915,20.292,23.292,-0.00317,459.81926,-0.22738,0.00057,0.0034,2.3204
231,nan,nan,nan,-0.00131,550.62484,-0.23365,0.00687,0.0673,2.3115
232,nan,nan,nan,-0.00564,453.42057,-0.25290,0.00178,0.0234,2.2460
233,nan,nan,nan,-0.00071,472.77914,-0.24647,0.00042,0.0009,2.3050
234,nan,nan,nan,0.00193,495.16453,-0.24142,0.00978,0.0997,2.2354
235,nan,nan,nan,-0.00364,543.95625,-0.24377,0.00333,0.0429,2.1019
236,nan,nan,nan,-0.00251,560.69434,-0.22991,0.00178,0.0250,2.2470
237,nan,nan,nan,-0.00070,599.40767,-0.25075,0.00529,0.0616,2.1316
238,nan,nan,nan,-0.00201,557.48852,-0.23707,0.00170,0.0237,2.2732
239,nan,nan,nan,-0.00409,610.27077,-0.23414,0.00199,0.0267,2.2242
240,668.190,22.125,25.125,-0.00009,584.34713,-0.22220,0.00532,0.0530,2.2371
241,nan,nan,nan,-0.00130,579.12079,-0.21181,0.00439,0.0503,2.3874
242,nan,nan,nan,0.00111,585.53264,-0.23998,0.00141,0.0181,2.3135
243,nan,nan,nan,-0.00658,585.04885,-0.23712,0.00093,0.0104,2.2296
244,nan,nan,nan,-0.00321,611.91074,-0.22469,0.00298,0.0361,2.2611
245,nan,nan,nan,-0.00137,554.51978,-0.22774,0.00127,0.0165,2.3112
246,nan,nan,nan,0.00338,487.01692,-0.25148,0.00723,0.0769,2.2147
247,nan,nan,nan,-0.00244,512.71284,-0.25821,0.00652,0.0592,2.1536
248,nan,nan,nan,-0.00204,584.48471,-0.22716,0.00162,0.0219,2.4141
249,nan,nan,nan,-0.00389,538.18484,-0.25158,0.00225,0.0315,2.2103
